Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price,AvgTempC,AvgTempF,AvgPrecipitation,AvgPressure
2014-01-03,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"5,427",0.43,7.666666666666667,45.666666666666664,0.22083333333333333,993.75
2014-01-10,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"4,251",0.45,7.5,45.5,0.17625,1000.525
2014-01-17,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"2,678",0.45,6.882352941176471,44.294117647058826,0.14558823529411763,1001.7720588235294
2014-01-24,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"4,064",0.52,6.25,43.25,0.12395833333333332,1002.796875
2014-01-31,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"1,167",0.5,6.035714285714286,42.892857142857146,0.12098214285714283,1002.0491071428571
2014-02-07,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"2,211",0.53,6.057142857142857,42.857142857142854,0.145,1000.4071428571428
2014-02-14,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,866,0.49,5.857142857142857,42.523809523809526,0.16041666666666665,998.6607142857143
2014-02-21,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"2,519",0.51,5.979591836734694,42.673469387755105,0.14566326530612245,999.3928571428571
2014-02-28,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"2,667",0.5,6.089285714285714,42.857142857142854,0.14285714285714285,1000.2834821428571
2014-03-07,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"4,268",0.43,6.111111111111111,42.904761904761905,0.1378968253968254,1001.0595238095239
2014-03-14,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"15,223",0.38,6.357142857142857,43.357142857142854,0.12410714285714286,1003.7571428571429
2014-03-21,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"2,192",0.38,6.623376623376624,43.83116883116883,0.1146103896103896,1005.0568181818181
2014-03-28,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,699,0.46,6.535714285714286,43.70238095238095,0.10982142857142857,1005.5208333333334
2014-04-04,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"1,622",0.5,6.818181818181818,44.19318181818182,0.10596590909090908,1005.53125
2014-04-11,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"2,512",0.46,7.11578947368421,44.705263157894734,0.10210526315789473,1006.4026315789474
2014-04-18,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"1,472",0.5,7.2745098039215685,44.990196078431374,0.09509803921568627,1007.5588235294117
2014-04-25,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"2,745",0.53,7.486238532110092,45.39449541284404,0.10309633027522935,1007.8669724770642
2014-05-02,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,791,0.49,7.614035087719298,45.63157894736842,0.10635964912280702,1007.9857456140351
2014-05-09,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"1,571",0.5,7.8264462809917354,46.01652892561984,0.10268595041322315,1008.3471074380166
2014-05-16,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"2,462",0.48,8.0390625,46.3984375,0.102734375,1008.9375
2014-05-23,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"1,766",0.47,8.42962962962963,47.096296296296295,0.10416666666666667,1008.937962962963
2014-05-30,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"1,153",0.5,8.55,47.31428571428572,0.11035714285714285,1009.1276785714285
2014-06-06,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"2,545",0.48,8.780821917808218,47.726027397260275,0.10813356164383561,1009.3133561643835
2014-06-13,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"1,139",0.45,9.183006535947712,48.44444444444444,0.10498366013071896,1009.8202614379085
2014-06-20,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"1,478",0.49,9.43125,48.8875,0.10101562499999998,1010.49765625
2014-06-27,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"1,068",0.47,9.748502994011975,49.449101796407184,0.09760479041916166,1010.8293413173652
2014-07-04,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,851,0.45,9.965116279069768,49.843023255813954,0.0973110465116279,1010.984738372093
2014-07-11,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"2,131",0.5,10.206703910614525,50.273743016759774,0.09741620111731844,1011.0551675977654
2014-07-18,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"2,002",0.51,10.559139784946236,50.90860215053763,0.09529569892473119,1011.2284946236559
2014-07-25,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"1,682",0.44,10.927461139896373,51.56476683937824,0.09591968911917098,1011.4034974093264
2014-08-01,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"3,400",0.48,11.106598984771574,51.88324873096447,0.09651015228426396,1011.4619289340102
2014-08-08,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"2,252",0.51,11.357843137254902,52.333333333333336,0.09981617647058823,1011.4656862745098
2014-08-15,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"3,251",0.47,11.511848341232227,52.60663507109005,0.10965639810426538,1011.3305687203791
2014-08-22,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"4,229",0.49,11.591743119266056,52.74311926605505,0.10630733944954127,1011.4008027522935
2014-08-29,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"2,296",0.49,11.674107142857142,52.90625,0.10864955357142857,1011.4196428571429
2014-09-05,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"4,150",0.46,11.777292576419214,53.09170305676856,0.10671397379912664,1011.603711790393
2014-09-12,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"4,359",0.48,11.889830508474576,53.30508474576271,0.10370762711864408,1011.8442796610169
2014-09-19,NATIONAL,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,"1,948",0.45,12.03292181069959,53.559670781893004,0.10241769547325104,1011.9243827160494
