Date,Region,Class,Commodity,Variety,Unit,Number of Stores,Weighted Avg Price,Month,AvgTempC,AvgTempF,AvgPrecipitation,AvgPressure
2014-01-03 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,9,0.99,Jan,8,46,0.125,994.5
2014-01-10 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,463,1.53,Jan,6,42,0,1014.25
2014-01-24 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,320,1.11,Jan,4,40,0.1375,1013.875
2014-01-31 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,203,1.85,,,,,
2014-02-07 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,122,1.98,Feb,7,44,0.35,987.875
2014-02-14 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,165,1.73,Feb,6,42,0.6625,991.25
2014-02-21 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,129,1.79,Feb,5,41,0,1003.25
2014-02-28 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,228,0.99,Feb,4,39,0.4,998.875
2014-03-07 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,144,1.81,Mar,9,49,0,1023.125
2014-03-28 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,588,0.99,Mar,7,45,0,1014.75
2014-04-04 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,32,1.49,Apr,12,53,0,1007.625
2014-04-11 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,47,2.49,Apr,11,52,0,1021.25
2014-04-25 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,59,2.29,Apr,10,51,0.4,1011.5
2014-05-02 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,137,1.99,May,9,49,0,1022.25
2014-05-16 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,63,2.37,May,15,58,0,1031.75
2014-05-30 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,124,2,,,,,
2014-06-06 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,64,1.91,Jun,15,59,0,1013.25
2014-06-13 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,75,1.81,Jun,19,66,0,1024.625
2014-06-20 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,72,1.47,Jun,15,60,0,1022.375
2014-06-27 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,21,0.99,Jun,16,61,0.0375,1012.5
2014-07-04 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,46,1.88,Jul,19,66,0,1008.5
2014-07-11 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,27,1.5,Jul,15,59,0.3625,1017.5
2014-07-18 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,5,0.98,Jul,23,73,0,1013.625
2014-07-25 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,110,1.43,Jul,20,68,0.025,1016.75
2014-08-01 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,357,2.09,Aug,19,66,0.0125,1009.25
2014-08-08 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,227,0.99,Aug,19,66,0.8625,1008.375
2014-08-15 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,175,1.98,Aug,15,59,0.025,1015.25
2014-08-22 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,299,1.79,Aug,15,58,0,1010.5
2014-08-29 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,30,1.41,,,,,
2014-09-05 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,278,1.85,Sep,17,63,0,1015.875
2014-09-12 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,237,1.03,Sep,16,61,0,1024.125
2014-09-19 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,428,1.57,Sep,19,65,0.375,1011
2014-09-26 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,332,1.27,Sep,17,62,0,1023.125
2014-10-03 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,RED,2 lb bag,93,1.47,Oct,15,60,0,1022.125
