Date,Region,Class,Commodity,Variety,Unit,Number of Stores,Weighted Avg Price,Month,AvgTempC,AvgTempF,AvgPrecipitation,AvgPressure
2014-01-03 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,155,1.84,Jan,8,46,0.125,994.5
2014-01-17 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,72,3.49,Jan,7,44,0,990.75
2014-01-24 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,17,1.85,Jan,4,40,0.1375,1013.875
2014-01-31 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,159,2,,,,,
2014-02-07 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,122,1.98,Feb,7,44,0.35,987.875
2014-02-21 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,73,1.65,Feb,5,41,0,1003.25
2014-03-07 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,13,2,Mar,9,49,0,1023.125
2014-03-28 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,7,1.99,Mar,7,45,0,1014.75
2014-04-18 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,31,0.69,Apr,8,46,0,1020.375
2014-04-25 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,17,0.88,Apr,10,51,0.4,1011.5
2014-05-02 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,9,2,May,9,49,0,1022.25
2014-05-09 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,30,1.18,May,12,54,0,1010.875
2014-05-16 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,25,1.77,May,15,58,0,1031.75
2014-05-23 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,8,1,May,13,55,0.025,1005.125
2014-05-30 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,147,1.84,,,,,
2014-06-20 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,181,1.64,Jun,15,60,0,1022.375
2014-06-27 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,63,1.51,Jun,16,61,0.0375,1012.5
2014-07-11 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,9,1.5,Jul,15,59,0.3625,1017.5
2014-07-18 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,25,0.92,Jul,23,73,0,1013.625
2014-07-25 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,63,1,Jul,20,68,0.025,1016.75
2014-08-01 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,64,1.34,Aug,19,66,0.0125,1009.25
2014-08-08 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,9,1.29,Aug,19,66,0.8625,1008.375
2014-08-15 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,83,0.99,Aug,15,59,0.025,1015.25
2014-08-22 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,73,1.35,Aug,15,58,0,1010.5
2014-08-29 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,26,1.09,,,,,
2014-09-05 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,270,1.82,Sep,17,63,0,1015.875
2014-09-12 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,17,0.88,Sep,16,61,0,1024.125
2014-09-19 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,344,1.39,Sep,19,65,0.375,1011
2014-09-26 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,288,1.26,Sep,17,62,0,1023.125
2014-10-03 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,82,1.14,Oct,15,60,0,1022.125
2014-10-10 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,188,1.85,Oct,13,55,0.0625,1009.375
2014-10-17 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,560,1.19,Oct,15,59,0.15,1009.375
2014-10-31 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,831,1.4,,,,,
2014-11-07 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,142,1.82,Nov,11,51,0.375,993.875
2014-11-14 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,420,1.39,Nov,11,52,0.425,999.875
2014-11-21 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,47,1.62,Nov,7,44,0.2375,1018.375
2014-11-28 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,63,1.69,Nov,10,49,0.025,1002.875
2014-12-05 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,46,1.32,Dec,3,37,0,1019.125
2014-12-05 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,11,1.99,Dec,3,37,0,1019.125
2014-12-12 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,17,1,Dec,7,44,0.3375,997
2014-12-19 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,97,1.5,Dec,8,47,0.075,1014.5
2015-01-09 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,7,1.29,Jan,10,50,0,1019.5
2015-01-16 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,135,1.83,Jan,4,39,0,1003.375
2015-01-23 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,81,1.41,Jan,2,36,0.0875,1024.25
2015-02-06 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,218,1.69,Feb,1,34,0,1030.75
2015-02-13 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,215,1.49,Feb,6,43,0.1625,1005
2015-02-20 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,7,0.99,Feb,5,42,0.175,1006.25
2015-02-27 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,236,1.95,Feb,4,39,0,1019
2015-03-06 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,102,1.5,Mar,6,43,0,1034.375
2015-03-20 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,142,1.8,Mar,6,44,0,1026.875
2015-05-01 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,31,1.1,May,7,45,0,1010.875
2015-05-15 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,7,1.69,May,11,52,0,1020.625
2015-05-29 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,133,1.64,,,,,
2015-06-05 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,200,1.77,Jun,18,64,0.05,1016.25
2015-06-12 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,40,0.99,Jun,17,63,0.3375,1009.625
2015-06-26 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,47,1.99,Jun,18,65,0.075,1017.5
2015-07-03 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,12,1.71,Jul,19,66,0,1023.125
2015-07-17 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,41,1.19,Jul,18,64,0.0875,1011.875
2015-07-24 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,19,1.89,Jul,14,57,1.6,1009.875
2015-08-07 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,WHITE,2 lb bag,389,2.2,Aug,18,65,0,1017.75
