Date,Region,Class,Commodity,Variety,Unit,Number of Stores,Weighted Avg Price,Month,AvgTempC,AvgTempF,AvgPrecipitation,AvgPressure
2014-01-03 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,497,1.11,Jan,8,46,0.125,994.5
2014-01-10 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,443,1.2,Jan,6,42,0,1014.25
2014-01-10 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,169,3.99,Jan,6,42,0,1014.25
2014-01-17 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,791,1.27,Jan,7,44,0,990.75
2014-01-24 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,1007,1.29,Jan,4,40,0.1375,1013.875
2014-01-31 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,654,1.23,,,,,
2014-02-07 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,442,1.23,Feb,7,44,0.35,987.875
2014-02-07 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,18,2.99,Feb,7,44,0.35,987.875
2014-02-14 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,451,1.71,Feb,6,42,0.6625,991.25
2014-02-21 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,260,1.26,Feb,5,41,0,1003.25
2014-02-28 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,202,1.12,Feb,4,39,0.4,998.875
2014-03-07 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,431,1.86,Mar,9,49,0,1023.125
2014-03-14 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,438,1.06,Mar,9,48,0,1027.375
2014-03-21 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,237,1.4,Mar,8,46,0.0375,1005.75
2014-03-28 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,88,1.66,Mar,7,45,0,1014.75
