Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price,AvgTempC,AvgTempF,AvgPrecipitation,AvgPressure
2014-01-10,NATIONAL,VEGETABLES,CABBAGE,RED TYPE,,,per pound,37,0.49,7.5,45.5,0.17625,1000.525
2014-01-17,NATIONAL,VEGETABLES,CABBAGE,RED TYPE,,,per pound,6,0.69,6.882352941176471,44.294117647058826,0.14558823529411763,1001.7720588235294
2014-01-24,NATIONAL,VEGETABLES,CABBAGE,RED TYPE,,,per pound,72,0.99,6.25,43.25,0.12395833333333332,1002.796875
2014-01-31,NATIONAL,VEGETABLES,CABBAGE,RED TYPE,,,per pound,72,0.99,6.035714285714286,42.892857142857146,0.12098214285714283,1002.0491071428571
2014-02-07,NATIONAL,VEGETABLES,CABBAGE,RED TYPE,,,per pound,72,0.99,6.057142857142857,42.857142857142854,0.145,1000.4071428571428
2014-02-14,NATIONAL,VEGETABLES,CABBAGE,RED TYPE,,,per pound,85,0.99,5.857142857142857,42.523809523809526,0.16041666666666665,998.6607142857143
2014-02-14,NATIONAL,VEGETABLES,CABBAGE,RED TYPE,Y,,per pound,70,1.49,5.857142857142857,42.523809523809526,0.16041666666666665,998.6607142857143
2014-02-21,NATIONAL,VEGETABLES,CABBAGE,RED TYPE,,,per pound,32,0.5,5.979591836734694,42.673469387755105,0.14566326530612245,999.3928571428571
2014-02-28,NATIONAL,VEGETABLES,CABBAGE,RED TYPE,,,per pound,486,0.39,6.089285714285714,42.857142857142854,0.14285714285714285,1000.2834821428571
2014-03-07,NATIONAL,VEGETABLES,CABBAGE,RED TYPE,,,per pound,34,0.69,6.111111111111111,42.904761904761905,0.1378968253968254,1001.0595238095239
2014-03-14,NATIONAL,VEGETABLES,CABBAGE,RED TYPE,Y,,per pound,8,0.89,6.357142857142857,43.357142857142854,0.12410714285714286,1003.7571428571429
2014-03-28,NATIONAL,VEGETABLES,CABBAGE,RED TYPE,,,per pound,11,0.39,6.535714285714286,43.70238095238095,0.10982142857142857,1005.5208333333334
2014-04-11,NATIONAL,VEGETABLES,CABBAGE,RED TYPE,,,per pound,11,0.39,7.11578947368421,44.705263157894734,0.10210526315789473,1006.4026315789474
